country,life_expectancy
United Kingdom,79.5
Turkey,NA
Switzerland,81.9
Sweden,80.9
Spain,80.7
Slovenia,78.5
Slovakia,73.9
Serbia,NA
Romania,71.7
Portugal,78.3
Poland,73.7
Norway,81.1
North Macedonia,NA
Netherlands,80.3
Montenegro,NA
Malta,80.4
Luxembourg,80.1
Lithuania,70.9
Liechtenstein,NA
Latvia,70.1
Italy,81.2
Ireland,80.4
Iceland,81.3
Hungary,72.7
Greece,79.3
Germany,78.6
France,79.7
Finland,79.1
Estonia,74
Denmark,79.1
Czechia,76.2
Cyprus,80.9
Croatia,74.9
Bulgaria,71.5
Belgium,79.4
Austria,79.4
Albania,NA
